epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.34,0.70628,1.34774,1.2092,0.96535,0.79591,0.92229,0.77482,0.5898,1.19041,1.42854,0.000660194,0.000660194,0.000660194
2,408.619,0.59199,0.83597,1.09237,0.86118,0.72987,0.79917,0.6701,0.66203,1.26059,1.4061,0.00130059,0.00130059,0.00130059
3,627.162,0.61641,0.74207,1.09524,0.80142,0.66494,0.70166,0.53542,0.83594,1.70586,1.62947,0.00191458,0.00191458,0.00191458
4,906.369,0.59716,0.67386,1.08416,0.89392,0.58182,0.62276,0.49799,0.71525,1.17062,1.49478,0.0018812,0.0018812,0.0018812
